DATA_USCITA,ALTRO,DEGENZA CHIR GENERALE NO COVID,DEGENZA CHIR SPECIALISTICA NO COVID,DEGENZA COVID BASSA INTENSITA,DEGENZA MED GENERALE NO COVID,DEGENZA MED SPECIALISTICA NO COVID,DEGENZA ORDINARIA COVID,EMERGENZA-URGENZA,ORTOPEDIA,SOSPETTI COVID,SUB INTENSIVA COVID,SUB INTENSIVA NO COVID,TERAPIA INTENSIVA COVID,TERAPIA INTENSIVA NO COVID
2020-05-04,40.0,14.0,29.0,13.0,49.0,37.0,44.0,7.0,5.0,19.0,2.0,13.0,6.0,13.0
2020-05-05,41.0,12.0,39.0,14.0,64.0,40.0,53.0,9.0,6.0,21.0,4.0,10.0,6.0,14.0
2020-05-06,78.0,11.0,41.0,8.0,58.0,52.0,45.0,3.0,3.0,36.0,5.0,14.0,6.0,16.0
2020-05-07,53.0,13.0,45.0,10.0,65.0,49.0,26.0,9.0,4.0,39.0,7.0,13.0,7.0,11.0
2020-05-08,63.0,9.0,45.0,21.0,52.0,50.0,30.0,8.0,3.0,27.0,1.0,14.0,3.0,15.0
2020-05-09,48.0,17.0,37.0,2.0,33.0,33.0,26.0,6.0,3.0,34.0,9.0,7.0,2.0,9.0
2020-05-10,37.0,5.0,32.0,3.0,12.0,25.0,15.0,5.0,3.0,16.0,0.0,6.0,3.0,9.0
2020-05-11,54.0,9.0,37.0,8.0,46.0,35.0,39.0,5.0,2.0,31.0,2.0,7.0,4.0,13.0
2020-05-12,45.0,9.0,41.0,10.0,51.0,42.0,33.0,5.0,9.0,31.0,1.0,13.0,4.0,19.0
2020-05-13,70.0,11.0,49.0,5.0,64.0,44.0,31.0,10.0,12.0,29.0,3.0,16.0,6.0,16.0
2020-05-14,61.0,16.0,40.0,11.0,56.0,50.0,23.0,7.0,5.0,23.0,4.0,13.0,7.0,21.0
2020-05-15,71.0,16.0,36.0,7.0,69.0,43.0,19.0,3.0,8.0,36.0,6.0,9.0,4.0,15.0
2020-05-16,40.0,9.0,35.0,4.0,40.0,32.0,23.0,6.0,4.0,24.0,4.0,8.0,2.0,12.0
2020-05-17,30.0,7.0,18.0,0.0,17.0,23.0,15.0,6.0,3.0,15.0,0.0,5.0,2.0,10.0
2020-05-18,66.0,6.0,40.0,6.0,48.0,43.0,32.0,8.0,6.0,17.0,4.0,13.0,6.0,17.0
2020-05-19,59.0,10.0,44.0,11.0,60.0,35.0,34.0,7.0,5.0,21.0,3.0,12.0,3.0,16.0
2020-05-20,56.0,12.0,54.0,7.0,52.0,39.0,23.0,7.0,6.0,33.0,3.0,14.0,6.0,19.0
2020-05-21,64.0,15.0,60.0,6.0,46.0,42.0,21.0,11.0,5.0,23.0,0.0,9.0,6.0,17.0
2020-05-22,54.0,16.0,50.0,13.0,79.0,60.0,21.0,11.0,4.0,27.0,4.0,15.0,4.0,25.0
2020-05-23,53.0,14.0,39.0,3.0,42.0,31.0,17.0,7.0,5.0,23.0,3.0,12.0,5.0,14.0
2020-05-24,23.0,18.0,18.0,0.0,5.0,17.0,10.0,6.0,2.0,16.0,0.0,5.0,2.0,6.0
2020-05-25,45.0,11.0,47.0,9.0,53.0,41.0,23.0,5.0,9.0,18.0,1.0,17.0,5.0,18.0
2020-05-26,52.0,10.0,49.0,4.0,58.0,39.0,25.0,5.0,7.0,26.0,2.0,15.0,1.0,18.0
2020-05-27,59.0,17.0,49.0,2.0,64.0,52.0,18.0,5.0,5.0,24.0,2.0,17.0,1.0,20.0
2020-05-28,63.0,12.0,58.0,1.0,71.0,43.0,21.0,9.0,4.0,19.0,1.0,12.0,2.0,19.0
2020-05-29,81.0,21.0,58.0,6.0,88.0,49.0,25.0,4.0,7.0,21.0,3.0,15.0,2.0,22.0
2020-05-30,48.0,22.0,42.0,6.0,51.0,39.0,9.0,8.0,7.0,17.0,3.0,8.0,1.0,10.0
2020-05-31,22.0,7.0,23.0,3.0,12.0,17.0,15.0,3.0,2.0,13.0,1.0,4.0,1.0,6.0
2020-06-01,58.0,12.0,52.0,10.0,74.0,41.0,19.0,5.0,5.0,23.0,1.0,9.0,6.0,15.0
2020-06-02,38.0,2.0,14.0,1.0,19.0,16.0,12.0,4.0,2.0,10.0,0.0,6.0,0.0,13.0
2020-06-03,69.0,15.0,48.0,5.0,61.0,52.0,14.0,5.0,12.0,18.0,1.0,17.0,1.0,15.0
2020-06-04,49.0,15.0,62.0,4.0,74.0,53.0,14.0,2.0,9.0,13.0,2.0,11.0,2.0,17.0
2020-06-05,78.0,12.0,65.0,3.0,76.0,69.0,13.0,8.0,12.0,20.0,2.0,15.0,4.0,16.0
2020-06-06,58.0,19.0,53.0,5.0,54.0,31.0,15.0,8.0,2.0,19.0,1.0,9.0,0.0,13.0
2020-06-07,23.0,10.0,20.0,1.0,11.0,12.0,14.0,2.0,0.0,16.0,0.0,2.0,1.0,7.0
2020-06-08,46.0,13.0,57.0,4.0,63.0,37.0,18.0,10.0,9.0,22.0,0.0,12.0,2.0,9.0
2020-06-09,55.0,10.0,45.0,1.0,103.0,41.0,11.0,12.0,8.0,25.0,0.0,16.0,2.0,23.0
2020-06-10,61.0,18.0,52.0,3.0,65.0,53.0,13.0,8.0,12.0,25.0,2.0,13.0,1.0,19.0
2020-06-11,91.0,20.0,68.0,2.0,66.0,50.0,18.0,6.0,8.0,13.0,0.0,17.0,2.0,17.0
2020-06-12,54.0,9.0,63.0,3.0,91.0,56.0,16.0,9.0,11.0,16.0,1.0,15.0,1.0,25.0
2020-06-13,50.0,19.0,49.0,1.0,49.0,44.0,10.0,7.0,5.0,17.0,1.0,8.0,0.0,9.0
2020-06-14,24.0,7.0,30.0,0.0,12.0,19.0,4.0,7.0,1.0,5.0,0.0,3.0,0.0,6.0
2020-06-15,47.0,9.0,63.0,3.0,75.0,37.0,9.0,23.0,6.0,18.0,1.0,22.0,2.0,25.0
2020-06-16,49.0,13.0,63.0,2.0,65.0,47.0,6.0,14.0,11.0,16.0,1.0,8.0,1.0,19.0
2020-06-17,72.0,17.0,67.0,3.0,72.0,59.0,11.0,16.0,6.0,20.0,0.0,10.0,1.0,15.0
2020-06-18,52.0,14.0,71.0,5.0,96.0,58.0,10.0,15.0,6.0,18.0,0.0,12.0,1.0,17.0
2020-06-19,65.0,14.0,73.0,3.0,91.0,64.0,2.0,21.0,10.0,21.0,2.0,19.0,5.0,24.0
2020-06-20,64.0,20.0,64.0,1.0,46.0,37.0,5.0,9.0,4.0,6.0,0.0,10.0,0.0,18.0
2020-06-21,23.0,9.0,26.0,0.0,18.0,22.0,4.0,8.0,4.0,5.0,1.0,2.0,0.0,7.0
2020-06-22,54.0,10.0,64.0,1.0,74.0,57.0,9.0,12.0,10.0,14.0,1.0,16.0,2.0,19.0
2020-06-23,44.0,11.0,65.0,1.0,69.0,57.0,7.0,12.0,7.0,18.0,0.0,16.0,0.0,25.0
2020-06-24,64.0,14.0,72.0,1.0,71.0,54.0,20.0,13.0,9.0,8.0,1.0,13.0,2.0,27.0
2020-06-25,53.0,23.0,74.0,1.0,88.0,56.0,9.0,16.0,7.0,11.0,1.0,16.0,2.0,18.0
2020-06-26,63.0,19.0,100.0,0.0,84.0,76.0,11.0,10.0,7.0,18.0,0.0,20.0,3.0,18.0
2020-06-27,31.0,17.0,50.0,1.0,42.0,37.0,6.0,12.0,3.0,15.0,2.0,9.0,1.0,15.0
2020-06-28,34.0,4.0,28.0,0.0,14.0,20.0,8.0,13.0,2.0,8.0,1.0,4.0,1.0,4.0
2020-06-29,47.0,12.0,70.0,0.0,75.0,42.0,9.0,13.0,8.0,21.0,2.0,14.0,4.0,22.0
2020-06-30,51.0,11.0,73.0,2.0,81.0,54.0,2.0,19.0,8.0,24.0,0.0,12.0,1.0,20.0
2020-07-01,59.0,16.0,71.0,2.0,69.0,52.0,7.0,12.0,11.0,15.0,2.0,10.0,4.0,21.0
2020-07-02,60.0,30.0,70.0,1.0,82.0,55.0,5.0,17.0,6.0,12.0,1.0,14.0,0.0,23.0
2020-07-03,61.0,15.0,76.0,1.0,99.0,74.0,4.0,9.0,4.0,17.0,2.0,13.0,3.0,22.0
2020-07-04,40.0,21.0,68.0,0.0,71.0,45.0,4.0,14.0,9.0,8.0,1.0,7.0,0.0,11.0
2020-07-05,22.0,7.0,37.0,0.0,10.0,26.0,5.0,12.0,2.0,7.0,0.0,7.0,2.0,9.0
2020-07-06,53.0,15.0,72.0,0.0,75.0,41.0,6.0,14.0,14.0,11.0,1.0,12.0,1.0,19.0
2020-07-07,49.0,14.0,68.0,0.0,76.0,57.0,9.0,15.0,12.0,11.0,1.0,15.0,0.0,23.0
2020-07-08,63.0,18.0,70.0,1.0,90.0,59.0,7.0,11.0,9.0,9.0,1.0,11.0,0.0,24.0
2020-07-09,59.0,23.0,69.0,0.0,75.0,57.0,6.0,16.0,7.0,7.0,2.0,11.0,1.0,14.0
2020-07-10,55.0,35.0,75.0,0.0,88.0,65.0,4.0,9.0,12.0,5.0,0.0,16.0,1.0,18.0
2020-07-11,44.0,21.0,72.0,0.0,55.0,46.0,4.0,11.0,13.0,5.0,0.0,8.0,0.0,11.0
2020-07-12,19.0,10.0,31.0,0.0,15.0,27.0,6.0,9.0,1.0,6.0,0.0,4.0,0.0,10.0
2020-07-13,51.0,18.0,60.0,2.0,69.0,41.0,10.0,11.0,10.0,8.0,1.0,16.0,1.0,18.0
2020-07-14,49.0,24.0,60.0,1.0,83.0,43.0,10.0,13.0,6.0,11.0,0.0,20.0,0.0,28.0
2020-07-15,62.0,22.0,75.0,0.0,85.0,63.0,6.0,16.0,10.0,10.0,0.0,10.0,0.0,23.0
2020-07-16,62.0,24.0,73.0,0.0,73.0,48.0,7.0,20.0,11.0,9.0,0.0,15.0,3.0,25.0
2020-07-17,47.0,23.0,91.0,2.0,87.0,70.0,4.0,11.0,7.0,3.0,1.0,21.0,1.0,28.0
2020-07-18,39.0,16.0,58.0,0.0,53.0,50.0,8.0,9.0,4.0,6.0,2.0,9.0,1.0,17.0
2020-07-19,23.0,12.0,40.0,0.0,13.0,32.0,5.0,13.0,1.0,4.0,0.0,3.0,2.0,10.0
2020-07-20,43.0,16.0,59.0,1.0,70.0,48.0,13.0,15.0,16.0,8.0,0.0,14.0,2.0,15.0
2020-07-21,59.0,25.0,83.0,0.0,88.0,50.0,6.0,14.0,14.0,10.0,0.0,16.0,2.0,27.0
2020-07-22,71.0,20.0,76.0,0.0,90.0,62.0,10.0,16.0,5.0,6.0,1.0,9.0,5.0,27.0
2020-07-23,66.0,32.0,64.0,0.0,84.0,60.0,8.0,16.0,11.0,8.0,0.0,17.0,3.0,21.0
2020-07-24,65.0,26.0,87.0,0.0,102.0,74.0,5.0,16.0,8.0,5.0,0.0,19.0,1.0,28.0
